date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:07	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Mar%202022%2016:41:07%20GMT	https://www.sccolorado.com/02b07b80.min.css	C:/My%20Web%20Sites/Shane/www.sccolorado.com/02b07b80.min.11.delayed	(from https://www.sccolorado.com/)
10:41:08	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Mar%202022%2016:41:08%20GMT	https://www.sccolorado.com/f52e40aa.min.css	C:/My%20Web%20Sites/Shane/www.sccolorado.com/f52e40aa.min.12.delayed	(from https://www.sccolorado.com/)
10:41:08	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Mar%202022%2016:41:08%20GMT	https://www.sccolorado.com/34b72cf9.min.css	C:/My%20Web%20Sites/Shane/www.sccolorado.com/34b72cf9.min.13.delayed	(from https://www.sccolorado.com/)
10:41:09	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Mar%202022%2016:41:09%20GMT	https://www.sccolorado.com/9b7ffe32.min.css	C:/My%20Web%20Sites/Shane/www.sccolorado.com/9b7ffe32.min.14.delayed	(from https://www.sccolorado.com/)
10:41:09	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Mar%202022%2016:41:09%20GMT	https://www.sccolorado.com/85465ce9.chunk.min.js	C:/My%20Web%20Sites/Shane/www.sccolorado.com/85465ce9.chunk.min.15.delayed	(from https://www.sccolorado.com/)
10:41:10	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Mar%202022%2016:41:09%20GMT	https://www.sccolorado.com/88d3f3be.chunk.min.js	C:/My%20Web%20Sites/Shane/www.sccolorado.com/88d3f3be.chunk.min.16.delayed	(from https://www.sccolorado.com/)
10:41:10	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Mar%202022%2016:41:10%20GMT	https://www.sccolorado.com/rb_wixui.thunderbolt~bootstrap.3f472804.chunk.min.js	C:/My%20Web%20Sites/Shane/www.sccolorado.com/rb_wixui.thunderbolt_bootstrap.3f472804.chunk.min.17.delayed	(from https://www.sccolorado.com/)
10:41:11	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Mar%202022%2016:41:10%20GMT	https://www.sccolorado.com/rb_wixui.thunderbolt~bootstrap-classic.89bdd4d4.chunk.min.css	C:/My%20Web%20Sites/Shane/www.sccolorado.com/rb_wixui.thunderbolt_bootstrap-classic.89bdd4d4.chunk.min.18.delayed	(from https://www.sccolorado.com/)
10:41:11	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Mar%202022%2016:41:11%20GMT	https://www.sccolorado.com/rb_wixui.thunderbolt~bootstrap-classic.85465ce9.chunk.min.js	C:/My%20Web%20Sites/Shane/www.sccolorado.com/rb_wixui.thunderbolt_bootstrap-classic.85465ce9.chunk.min.19.delayed	(from https://www.sccolorado.com/)
10:41:12	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Mar%202022%2016:41:11%20GMT	https://www.sccolorado.com/rb_wixui.thunderbolt~bootstrap-responsive.a66c1914.chunk.min.css	C:/My%20Web%20Sites/Shane/www.sccolorado.com/rb_wixui.thunderbolt_bootstrap-responsive.a66c1914.chunk.min.1a.delayed	(from https://www.sccolorado.com/)
10:41:12	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Mar%202022%2016:41:12%20GMT	https://www.sccolorado.com/rb_wixui.thunderbolt~bootstrap-responsive.88d3f3be.chunk.min.js	C:/My%20Web%20Sites/Shane/www.sccolorado.com/rb_wixui.thunderbolt_bootstrap-responsive.88d3f3be.chunk.min.1b.delayed	(from https://www.sccolorado.com/)
10:41:13	1717/1717	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202022%2016:41:12%20GMT	https://static.wixstatic.com/media/da2f8d_e78dd2fed4304537b62e61560b548644~mv2.jpeg/v1/fill/w_107,h_45,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Stem%20Cell%20Col.jpeg	C:/My%20Web%20Sites/Shane/static.wixstatic.com/media/da2f8d_e78dd2fed4304537b62e61560b548644_mv2.jpeg/v1/fill/w_107,h_45,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Stem%20Cell%20Col.jpg	(from https://www.sccolorado.com/)
10:41:15	491968/491968	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202022%2016:41:14%20GMT	https://www.sccolorado.com/copy-of-chiropractic-adjustments	C:/My%20Web%20Sites/Shane/www.sccolorado.com/copy-of-chiropractic-adjustments.html	(from https://www.sccolorado.com/)
10:41:15	6325/6325	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202022%2016:41:15%20GMT	https://static.wixstatic.com/media/510b1feda95e487ab6b9476420f7f5b1.jpg/v1/fill/w_245,h_163,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/510b1feda95e487ab6b9476420f7f5b1.jpg	C:/My%20Web%20Sites/Shane/static.wixstatic.com/media/510b1feda95e487ab6b9476420f7f5b1.jpg/v1/fill/w_245,h_163,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/510b1feda95e487ab6b9476420f7f5b1.jpg	(from https://www.sccolorado.com/)
